library_id,jira_ticket
A96146A,SC-2608
A96212B,SC-2814
A96210C,SC-3023
A96199A,SC-1659
A96155B,SC-3028
A96155C,SC-2753
A96183C,SC-3022
A96199B,SC-3008
A96141A,SC-3776
A96226B,SC-3019
A96161B,SC-3526
A96220B,SC-2613
A96141B,SC-2659
A96149A,SC-3047
A96228A,SC-3483
A96228B,SC-3009
A96149B,SC-3021
A96162A,SC-2752
A96162B,SC-3055
A96163B,SC-3484
A96240A,SC-3235
A96193A,SC-3248
A96244A,SC-3027
A96244B,SC-3955
A96233B,SC-3236
A95717A,SC-3840
A95717B,SC-2684
A96190A,SC-3242
A96190B,SC-2686
A96207A,SC-2727
A96207B,SC-2533
A96189A,SC-3303
A96189B,SC-3241
A96194A,SC-2688
A96194B,SC-2689
A96192A,SC-3783
A96192B,SC-3020
A96205A,SC-3029
A96205B,SC-3300
A95634A,SC-3785
A95634B,SC-3253
A95629A,SC-2580
A96201B,SC-3784
A96200B,SC-2534
A95663A,SC-2690
A95650B,SC-2978
A95668B,SC-3250
A95720A,SC-3187
A95675B,SC-2979
A95720B,SC-2980
A95673A,SC-2600
A95628A,SC-3788
A95628B,SC-3036
A95654A,SC-3024
A95654B,SC-3034
A95731A,SC-3003
A95623A,SC-3086
A95731B,SC-3058
A95618A,SC-3123
A95623B,SC-3053
A95653B,SC-3193
A95618B,SC-3355
A95652A,SC-3357
A95652B,SC-3349
A96113A,SC-3365
A96113B,SC-3485
A96110B,SC-3960
A96118A,SC-2761
A96120A,SC-2760
A96118B,SC-3138
A96134A,SC-3479
A96142B,SC-2800
A96154A,SC-3860
A96114A,SC-3223
A96124B,SC-3262
A96167A,SC-3734
A96185B,SC-3791
A96167B,SC-3286
A96253A,SC-3010
A96253B,SC-3903
A96117B,SC-2911
A96115A,SC-3127
A96115B,SC-3044
A95626A,SC-3141
A95646A,SC-3861
A95646B,SC-3042
A95730A,SC-2698
A95633A,SC-3480
A95633B,SC-3406
A95703A,SC-3183
A95700A,SC-2756
A95723A,SC-2757
A95707A,SC-3059
A95707B,SC-3489
A95725A,SC-3492
A95725B,SC-3491
A95718A,SC-3961
A95718B,SC-3963
A95718C,SC-2981
A95721B,SC-2912
A98305A,SC-3040
A95697A,SC-2744
A95697B,SC-2755
A98270A,SC-3959
A96123A,SC-3792
A96112A,SC-2863
A95706A,SC-2788
A95706B,SC-2808
A95735A,SC-2791
A95735B,SC-2789
A96178A,SC-2931
A96178B,SC-3075
A95625A,SC-3054
A98271A,SC-2831
A98271B,SC-2830
A98286A,SC-3126
A98265A,SC-3968
A98286B,SC-3124
A98265B,SC-3488
A98302A,SC-3797
A98239B,SC-3967
A98302B,SC-3068
A98274A,SC-3970
A98295A,SC-3089
A98274B,SC-3249
A98295B,SC-3090
A98277A,SC-2705
A98277B,SC-2716
A98194A,SC-2718
A98194B,SC-2914
A98269A,SC-2913
A98269B,SC-3046
A98289B,SC-3049
A98294A,SC-3043
A98294B,SC-2732
A98296A,SC-2772
A98282A,SC-3045
A98283A,SC-3272
A98283B,SC-3266
A98296B,SC-2717
A98262A,SC-2785
A98262B,SC-2735
A98282B,SC-2771
A98284A,SC-3140
A98284B,SC-3039
A98304A,SC-3056
A98285A,SC-3048
A98243A,SC-2733
A98285B,SC-2721
A98243B,SC-3801
A98259A,SC-2851
A98292A,SC-2734
A98259B,SC-3057
A98287A,SC-3122
A98236A,SC-3793
A98181A,SC-3073
A98279A,SC-3798
A98300A,SC-3267
A98300B,SC-3268
A98290A,SC-3273
A98299A,SC-3110
A98290B,SC-3354
A98299B,SC-3077
A98293A,SC-3097
A98176A,SC-3271
A98176B,SC-3350
A98293B,SC-3096
A98251A,SC-3112
A98251B,SC-3195
A98291A,SC-3252
A98291B,SC-3263
A98247A,SC-3080
A98235A,SC-3076
A98231A,SC-3111
A98235B,SC-3079
A98242A,SC-3116
A98242B,SC-3115
A98231B,SC-3114
A98254A,SC-3143
A98241A,SC-3170
A98232A,SC-3173
A98261A,SC-3213
A98232B,SC-3178
A98261B,SC-3212
A98306A,SC-3188
A98306B,SC-3189
A98227A,SC-3171
A98227B,SC-3172
A98226B,SC-3142
A98255A,SC-3243
A98255B,SC-3311
A98258A,SC-3495
A98234A,SC-3276
A98234B,SC-3410
A98258B,SC-3337
A98169A,SC-3312
A98169B,SC-3310
A98163A,SC-3264
A98163B,SC-3215
A98217A,SC-3309
A98179A,SC-3338
A98257B,SC-3408
A98217B,SC-3348
A98303B,SC-3572
A98240A,SC-3359
A98240B,SC-3360
A98246A,SC-3376
A98246B,SC-3366
A98237A,SC-3358
A98172B,SC-3523
A98172A,SC-3450
A98168A,SC-3582
A98244A,SC-3658
A98168B,SC-3588
A98197A,SC-3409
A98197B,SC-3403
A98253A,SC-3659
A98165A,SC-3377
A98253B,SC-3663
A98256A,SC-3414
A98260A,SC-3459
A98256B,SC-3757
A98174A,SC-3553
A98260B,SC-3525
A98174B,SC-3554
A98210A,SC-3580
A98215A,SC-3584
A98210B,SC-3583
A98215B,SC-3585
A98249A,SC-3546
A98249B,SC-3551
A108842A,SC-3593
A108846A,SC-3576
A108846B,SC-3575
A108842B,SC-3451
A108755A,SC-3586
A108755B,SC-3587
A108833A,SC-3804
A108851A,SC-3805
A108833B,SC-3698
A108837A,SC-3674
A108851B,SC-3577
A108863A,SC-3712
A108837B,SC-3454
A108832A,SC-3882
A108832B,SC-3544
A108757A,SC-3574
A108757B,SC-3710
A108836A,SC-3883
A108879A,SC-3717
A108740B,SC-3589
A108740A,SC-3590
A108836B,SC-3675
A108771A,SC-3719
A108752B,SC-3731
A108741A,SC-3592
A108741B,SC-3591
A98303A,SC-3894
A108867A,SC-3859
A108761B,SC-3857
A108753A,SC-3862
A108762B,SC-3844
A108762A,SC-3902
A108838B,SC-3803
A108753B,SC-3865
A98248B,SC-3308
A98248A,SC-3307
A98245B,SC-3868
A98245A,SC-3314
